1,0.333333333,0,0,0,0,0,0,0,0,0.333333333,0,0,0.166666667,0,0,0,0,0.166666667,0,0
1,0.166666667,0,0.083333333,0,0.166666667,0.083333333,0,0,0,0.083333333,0.083333333,0,0.083333333,0,0,0.083333333,0.083333333,0,0.083333333,0
1,0,0,0,0.083333333,0.25,0,0,0,0.083333333,0.166666667,0,0.083333333,0.083333333,0,0,0,0.083333333,0,0.083333333,0.083333333
1,0.166666667,0,0,0,0,0.083333333,0,0,0.083333333,0,0.083333333,0,0.083333333,0,0.083333333,0.083333333,0.083333333,0.083333333,0.166666667,0
1,0,0,0,0,0.166666667,0.083333333,0,0,0,0.166666667,0.083333333,0,0.25,0,0,0.166666667,0,0,0.083333333,0
1,0.083333333,0,0,0,0.083333333,0,0.083333333,0,0,0.166666667,0,0,0.083333333,0.083333333,0,0.083333333,0.166666667,0,0.083333333,0.083333333
1,0,0,0,0,0,0,0.083333333,0,0,0.25,0,0.083333333,0.25,0,0.083333333,0.083333333,0,0,0.166666667,0
1,0,0,0,0,0,0,0.083333333,0,0,0.083333333,0,0,0.25,0,0,0.25,0,0.083333333,0.166666667,0.083333333
1,0,0,0,0.083333333,0,0,0.166666667,0,0,0,0,0,0.083333333,0,0,0.25,0.083333333,0.083333333,0.25,0
1,0.083333333,0,0,0,0,0,0.083333333,0,0,0.25,0,0,0.166666667,0.083333333,0,0.166666667,0,0.083333333,0.083333333,0
1,0,0,0,0,0.25,0,0,0.083333333,0,0.083333333,0,0,0.166666667,0,0,0.333333333,0,0,0.083333333,0
1,0,0,0,0,0.083333333,0,0,0,0,0.166666667,0,0.083333333,0.166666667,0.083333333,0.083333333,0.166666667,0,0.083333333,0.083333333,0
1,0,0,0.083333333,0,0.083333333,0,0,0.083333333,0,0.333333333,0,0,0.166666667,0,0,0.083333333,0.166666667,0,0,0
1,0,0,0,0,0,0.083333333,0.166666667,0,0,0.25,0.083333333,0,0.25,0,0.083333333,0,0,0.083333333,0,0
1,0,0,0,0,0,0.083333333,0,0,0.083333333,0,0.083333333,0.166666667,0.083333333,0.083333333,0,0.083333333,0,0.083333333,0.083333333,0.166666667
1,0,0,0.083333333,0,0.083333333,0,0.083333333,0,0.083333333,0,0,0.083333333,0,0.083333333,0.083333333,0.083333333,0.166666667,0,0,0.166666667
1,0.083333333,0,0,0,0.166666667,0.083333333,0,0.083333333,0.083333333,0.083333333,0,0.166666667,0.166666667,0.083333333,0,0,0,0,0,0
1,0.083333333,0,0,0.083333333,0,0,0,0.083333333,0,0.166666667,0,0.166666667,0.083333333,0,0,0.166666667,0.166666667,0,0,0
1,0.083333333,0,0.083333333,0,0,0,0.083333333,0,0,0,0,0.083333333,0.166666667,0,0.083333333,0.083333333,0.166666667,0,0,0.166666667
1,0.083333333,0,0.083333333,0,0.083333333,0.083333333,0.083333333,0,0,0,0,0.083333333,0.333333333,0,0.083333333,0,0.083333333,0,0,0
1,0.083333333,0,0,0,0,0,0.083333333,0,0,0.333333333,0,0,0.166666667,0,0,0.083333333,0.166666667,0.083333333,0,0
1,0,0,0,0.083333333,0.083333333,0.083333333,0.166666667,0,0,0,0,0,0.416666667,0,0.083333333,0.083333333,0,0,0,0
1,0.166666667,0,0.083333333,0,0,0,0.083333333,0,0,0,0,0,0.25,0,0.083333333,0.166666667,0.166666667,0,0,0
1,0,0,0,0,0,0,0,0,0,0.166666667,0.083333333,0,0.25,0,0,0.25,0.166666667,0,0.083333333,0
1,0,0,0,0,0,0.166666667,0,0,0,0.166666667,0.166666667,0,0.083333333,0.083333333,0.083333333,0.083333333,0,0.083333333,0,0.083333333
1,0,0,0,0,0,0,0,0.25,0,0.083333333,0,0,0.25,0.083333333,0,0.166666667,0.083333333,0,0,0.083333333
1,0,0,0.083333333,0,0.083333333,0,0,0,0.083333333,0,0.083333333,0,0.083333333,0.083333333,0,0.083333333,0.333333333,0,0,0.083333333
1,0.166666667,0,0,0,0,0.083333333,0,0,0,0,0.083333333,0.083333333,0,0.083333333,0.083333333,0.25,0.166666667,0,0,0
1,0.166666667,0,0,0.083333333,0,0,0.083333333,0,0,0,0.083333333,0.083333333,0,0.083333333,0.166666667,0.083333333,0,0.083333333,0,0.083333333
1,0,0,0,0,0,0,0.166666667,0,0.083333333,0.083333333,0,0.166666667,0.25,0.083333333,0,0,0.083333333,0,0.083333333,0
1,0,0,0.083333333,0,0,0,0,0,0,0.166666667,0,0.083333333,0.083333333,0,0,0.333333333,0.083333333,0.083333333,0.083333333,0
1,0.166666667,0,0,0.083333333,0,0,0.083333333,0.083333333,0.083333333,0,0,0,0.166666667,0,0,0.083333333,0.083333333,0,0,0.166666667
1,0,0,0.166666667,0.083333333,0.083333333,0,0,0,0,0.083333333,0,0.083333333,0.166666667,0,0.166666667,0.083333333,0,0,0.083333333,0
1,0.095238095,0,0,0,0,0.047619048,0,0,0.142857143,0.238095238,0,0,0,0,0.19047619,0.047619048,0,0.047619048,0.19047619,0
1,0.037037037,0,0,0,0,0.037037037,0,0,0.148148148,0.259259259,0,0,0.037037037,0.037037037,0.185185185,0.074074074,0,0.037037037,0.148148148,0
1,0.363636364,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0.454545455,0,0,0,0,0.090909091
1,0.181818182,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0.636363636,0,0,0,0,0.090909091
1,0.090909091,0,0.045454545,0.045454545,0,0.090909091,0,0.227272727,0.227272727,0.090909091,0,0,0,0.090909091,0,0.045454545,0,0,0,0.045454545
1,0.206896552,0.034482759,0,0,0,0,0,0,0.068965517,0.206896552,0,0,0.137931034,0.068965517,0.206896552,0,0,0.068965517,0,0
1,0.206896552,0.034482759,0,0,0,0,0,0,0.068965517,0.206896552,0,0,0.137931034,0.068965517,0.206896552,0,0,0.068965517,0,0
1,0.068965517,0,0.034482759,0.068965517,0.068965517,0.24137931,0,0.103448276,0.034482759,0.034482759,0.034482759,0.034482759,0,0.034482759,0.206896552,0,0,0,0.034482759,0
1,0,0.04,0,0,0,0.16,0,0,0.16,0,0,0,0,0.08,0.48,0,0,0,0,0.08
1,0.0625,0,0,0,0,0,0,0,0,0.3125,0,0,0.125,0,0.375,0,0,0.0625,0.0625,0
1,0.25,0,0.071428571,0,0,0.071428571,0,0,0.035714286,0.25,0,0,0.071428571,0,0.035714286,0.071428571,0,0.107142857,0,0.035714286
1,0.148148148,0.074074074,0,0,0.037037037,0,0.074074074,0.037037037,0,0,0.037037037,0.074074074,0,0.037037037,0.37037037,0.037037037,0.037037037,0.037037037,0,0
1,0,0,0.04,0.04,0,0.04,0,0,0.32,0.04,0,0,0,0.04,0.12,0.12,0,0.12,0,0.12
1,0,0,0,0.107142857,0,0.035714286,0,0,0.107142857,0,0,0,0.107142857,0.107142857,0.214285714,0.035714286,0.107142857,0,0.178571429,0
1,0.055555556,0,0,0,0,0.055555556,0.166666667,0.055555556,0,0.388888889,0,0.111111111,0,0,0.111111111,0.055555556,0,0,0,0
1,0.0625,0,0,0,0,0,0,0,0.125,0.1875,0,0,0.125,0,0,0.25,0,0,0.25,0
1,0.045454545,0,0,0,0,0.136363636,0,0,0.363636364,0.181818182,0,0,0.045454545,0.045454545,0.045454545,0.090909091,0,0.045454545,0,0
1,0,0,0,0,0.230769231,0,0,0,0.230769231,0.076923077,0,0,0,0,0.230769231,0,0,0,0,0.230769231
1,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0.25,0
1,0,0,0.066666667,0,0.066666667,0,0,0.066666667,0.266666667,0,0,0.066666667,0,0.066666667,0.2,0.066666667,0,0.066666667,0.066666667,0
1,0,0.05,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0.05,0
1,0.230769231,0.038461538,0.038461538,0,0.038461538,0.038461538,0,0,0.115384615,0.307692308,0,0.076923077,0.038461538,0,0,0,0,0.076923077,0,0
1,0.1,0,0.033333333,0,0.033333333,0.1,0,0.066666667,0.066666667,0,0,0.033333333,0.066666667,0.066666667,0.3,0.033333333,0.066666667,0,0,0.033333333
1,0.107142857,0,0.035714286,0,0.035714286,0.071428571,0,0.071428571,0,0,0,0.035714286,0,0,0.5,0.035714286,0.071428571,0,0,0.035714286
1,0.3,0.05,0,0,0,0.05,0,0,0.25,0.35,0,0,0,0,0,0,0,0,0,0
1,0.052631579,0.052631579,0,0.052631579,0,0.052631579,0,0,0,0,0,0.052631579,0,0.105263158,0.526315789,0,0.052631579,0,0.052631579,0
1,0.173913043,0,0,0,0,0.043478261,0,0.086956522,0.086956522,0.173913043,0,0.043478261,0,0.043478261,0.217391304,0,0,0.043478261,0.086956522,0
0,0,0,0,0,0,0.055555556,0.055555556,0.111111111,0,0,0,0.111111111,0.333333333,0.055555556,0.166666667,0,0,0.055555556,0,0.055555556
0,0,0,0,0,0,0.384615385,0.307692308,0,0,0,0,0,0,0.076923077,0,0.076923077,0,0.153846154,0,0
0,0,0,0,0,0.142857143,0.047619048,0,0,0.095238095,0.142857143,0,0,0.095238095,0.142857143,0.142857143,0.095238095,0.095238095,0,0,0
0,0.166666667,0.083333333,0,0,0.083333333,0.041666667,0,0.083333333,0.166666667,0.125,0,0,0.083333333,0,0,0,0.041666667,0.125,0,0
0,0.125,0.083333333,0,0,0.125,0.041666667,0,0.041666667,0.166666667,0.125,0,0,0.041666667,0,0,0.083333333,0.041666667,0.125,0,0
0,0.076923077,0,0,0,0.153846154,0.076923077,0,0.076923077,0.076923077,0.307692308,0,0,0.076923077,0,0,0,0.076923077,0.076923077,0,0
0,0.074074074,0.074074074,0.037037037,0,0.037037037,0.185185185,0,0.037037037,0.185185185,0.259259259,0,0,0.037037037,0.037037037,0,0,0.037037037,0,0,0
0,0,0,0,0,0,0,0,0.076923077,0.076923077,0.076923077,0,0,0.230769231,0,0.153846154,0,0,0,0.384615385,0
0,0,0.222222222,0,0,0.055555556,0.166666667,0,0,0,0.055555556,0,0,0,0,0.333333333,0,0,0.111111111,0,0.055555556
0,0.083333333,0,0,0,0,0.166666667,0,0.041666667,0.125,0.208333333,0,0.083333333,0,0.041666667,0,0.041666667,0.041666667,0.125,0,0.041666667
0,0.12,0,0.04,0,0,0.2,0,0.04,0.08,0.16,0,0,0.04,0.04,0.04,0.12,0,0.12,0,0
0,0.083333333,0.166666667,0,0,0.083333333,0,0.083333333,0.166666667,0,0.083333333,0,0,0.166666667,0,0.083333333,0,0,0.083333333,0,0
0,0.153846154,0,0.076923077,0,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0,0,0,0,0,0,0.076923077,0,0.230769231,0.076923077,0
0,0.133333333,0,0.033333333,0.033333333,0,0.133333333,0,0.033333333,0.266666667,0.1,0.033333333,0.033333333,0.033333333,0.033333333,0,0,0.033333333,0,0.1,0
0,0.083333333,0,0,0.041666667,0,0.166666667,0,0.041666667,0.25,0.25,0.041666667,0,0,0,0,0,0.041666667,0.041666667,0.041666667,0
0,0.071428571,0,0,0,0,0,0,0,0.357142857,0.071428571,0,0,0.142857143,0,0.142857143,0,0.071428571,0,0.142857143,0
0,0,0.166666667,0,0,0.083333333,0,0,0.25,0,0.083333333,0,0,0,0,0.333333333,0,0,0.083333333,0,0
0,0.166666667,0.083333333,0,0,0.166666667,0.041666667,0,0.125,0.125,0.083333333,0.041666667,0.041666667,0.083333333,0,0,0.041666667,0,0,0,0
0,0.1,0.1,0,0,0,0.1,0,0.05,0.2,0.05,0,0,0.15,0,0.05,0.1,0.05,0,0.05,0
0,0.1,0,0,0,0.2,0.1,0,0,0.15,0.1,0,0,0.05,0,0,0.05,0,0.25,0,0
0,0,0.095238095,0,0,0,0.238095238,0,0,0.142857143,0.238095238,0,0,0,0,0,0.095238095,0,0.19047619,0,0
0,0.074074074,0,0,0.074074074,0.074074074,0.074074074,0.037037037,0.111111111,0.296296296,0.037037037,0.074074074,0,0,0.037037037,0,0.037037037,0.037037037,0,0.037037037,0
0,0,0,0,0,0,0.25,0,0.166666667,0.083333333,0.416666667,0,0,0,0,0,0,0.083333333,0,0,0
0,0.142857143,0,0.071428571,0,0,0.071428571,0,0.214285714,0.142857143,0.214285714,0,0.071428571,0,0,0,0,0,0,0.071428571,0
0,0.166666667,0.055555556,0,0,0,0.111111111,0.111111111,0,0.055555556,0.277777778,0,0.111111111,0,0,0,0,0,0.055555556,0.055555556,0
0,0.055555556,0,0.055555556,0,0.111111111,0.055555556,0,0.055555556,0.111111111,0.055555556,0.111111111,0.111111111,0,0.055555556,0.055555556,0.111111111,0,0.055555556,0,0
0,0.066666667,0.133333333,0,0,0,0.066666667,0,0.133333333,0.133333333,0.2,0,0,0.066666667,0,0,0,0,0.133333333,0.066666667,0
0,0.076923077,0,0,0,0.076923077,0.076923077,0,0.076923077,0.076923077,0.384615385,0,0,0,0,0,0.153846154,0.076923077,0,0,0
0,0.08,0.08,0,0,0.12,0.04,0,0.08,0.16,0.08,0,0.04,0.08,0.04,0,0.08,0,0.12,0,0
0,0.076923077,0,0,0.076923077,0.076923077,0.307692308,0.076923077,0,0,0,0.076923077,0,0.076923077,0.076923077,0,0,0,0.076923077,0.076923077,0
0,0,0,0.076923077,0,0.076923077,0.076923077,0,0.230769231,0.076923077,0.153846154,0,0.076923077,0,0,0,0.076923077,0.076923077,0.076923077,0,0
0,0.043478261,0,0.043478261,0,0,0.217391304,0,0,0.086956522,0.260869565,0,0.043478261,0,0,0,0.086956522,0.086956522,0.130434783,0,0
0,0,0,0,0.041666667,0.041666667,0.041666667,0,0.083333333,0.166666667,0.166666667,0.083333333,0.041666667,0,0.041666667,0.041666667,0.083333333,0,0.041666667,0.125,0
0,0.076923077,0,0.038461538,0,0,0.192307692,0.038461538,0.115384615,0.153846154,0.115384615,0,0,0,0,0.192307692,0,0,0.038461538,0.038461538,0
0,0,0,0.047619048,0.047619048,0.047619048,0.047619048,0.19047619,0,0.095238095,0.047619048,0,0.095238095,0,0,0.142857143,0.095238095,0,0,0,0.142857143
0,0.071428571,0.071428571,0.071428571,0,0,0.142857143,0,0.071428571,0.178571429,0.178571429,0.035714286,0.035714286,0,0,0,0.071428571,0.035714286,0.035714286,0,0
0,0.1,0,0,0.033333333,0.066666667,0.166666667,0.033333333,0,0.133333333,0.133333333,0,0,0.033333333,0.1,0,0.066666667,0.033333333,0.066666667,0.033333333,0
0,0.166666667,0,0,0,0,0.055555556,0,0.166666667,0.055555556,0.277777778,0.055555556,0,0.055555556,0,0,0.166666667,0,0,0,0
0,0,0.111111111,0,0.037037037,0.037037037,0.037037037,0.037037037,0,0,0,0.037037037,0.074074074,0.037037037,0.074074074,0.074074074,0.074074074,0.074074074,0.148148148,0.111111111,0.037037037
0,0.1,0,0,0.1,0,0,0,0,0.3,0.1,0.1,0,0,0.05,0.05,0.1,0,0,0.05,0.05
0,0.071428571,0,0,0.035714286,0.214285714,0.107142857,0,0,0.25,0.071428571,0.035714286,0.035714286,0,0,0.107142857,0.035714286,0,0,0,0.035714286
0,0,0.2,0,0.033333333,0,0.066666667,0,0.066666667,0.1,0.033333333,0,0.033333333,0.066666667,0,0,0.166666667,0.033333333,0.133333333,0.033333333,0.033333333
0,0.074074074,0.222222222,0.037037037,0.074074074,0.037037037,0.037037037,0,0.074074074,0.148148148,0,0,0.037037037,0.037037037,0,0,0,0.074074074,0.074074074,0,0.074074074
0,0.04,0.24,0.08,0.04,0,0.12,0,0,0.04,0,0,0,0.08,0,0.04,0,0.16,0.08,0.04,0.04
0,0,0.206896552,0,0.034482759,0.034482759,0.172413793,0,0.034482759,0,0.034482759,0,0.068965517,0.103448276,0,0.068965517,0.034482759,0.137931034,0.034482759,0,0.034482759
0,0.217391304,0.043478261,0,0,0,0.130434783,0.043478261,0.043478261,0.043478261,0,0,0.043478261,0.043478261,0.043478261,0.043478261,0.130434783,0.043478261,0.086956522,0.043478261,0
0,0,0,0,0,0.153846154,0.076923077,0,0,0.076923077,0.384615385,0.076923077,0,0.076923077,0,0,0,0.076923077,0.076923077,0,0
0,0.074074074,0,0.074074074,0.037037037,0.037037037,0.037037037,0.037037037,0,0.111111111,0.111111111,0.037037037,0.074074074,0.037037037,0.037037037,0.148148148,0.074074074,0,0.037037037,0,0.037037037
0,0.15,0.1,0,0,0.05,0.05,0,0.1,0.05,0.15,0,0.05,0.05,0.05,0,0,0.1,0.05,0,0.05
0,0,0.095238095,0.047619048,0,0,0.285714286,0,0,0.095238095,0.238095238,0,0,0,0,0,0.095238095,0,0.142857143,0,0
0,0,0,0,0,0.142857143,0.142857143,0,0.142857143,0.071428571,0.214285714,0,0,0,0,0.071428571,0,0.142857143,0.071428571,0,0
0,0.058823529,0,0,0,0.176470588,0,0,0.058823529,0.058823529,0.176470588,0,0,0.117647059,0,0.058823529,0.176470588,0,0.058823529,0,0.058823529
0,0.192307692,0,0,0,0.038461538,0.153846154,0.076923077,0.038461538,0.038461538,0.076923077,0,0.076923077,0,0,0.038461538,0.038461538,0.038461538,0.115384615,0.076923077,0
0,0,0,0,0,0,0.590909091,0,0,0,0.363636364,0,0,0.045454545,0,0,0,0,0,0,0
0,0.208333333,0.083333333,0,0,0.041666667,0.083333333,0,0.125,0.166666667,0.041666667,0.041666667,0,0.041666667,0,0,0,0.083333333,0.041666667,0,0.041666667
0,0.153846154,0,0,0,0.076923077,0.153846154,0,0.153846154,0.076923077,0.230769231,0.076923077,0,0.076923077,0,0,0,0,0,0,0
0,0.076923077,0,0,0,0.076923077,0.076923077,0,0.153846154,0.153846154,0.153846154,0,0,0.153846154,0,0,0,0.076923077,0,0,0.076923077
0,0.071428571,0,0.071428571,0,0.035714286,0,0.035714286,0.035714286,0.107142857,0.107142857,0.035714286,0.107142857,0,0.035714286,0.071428571,0.071428571,0.071428571,0.071428571,0,0.071428571
0,0,0,0,0,0,0.19047619,0.619047619,0,0,0,0,0,0.19047619,0,0,0,0,0,0,0
0,0.166666667,0.083333333,0,0,0.083333333,0,0,0.041666667,0.125,0.166666667,0,0,0.083333333,0,0.041666667,0.041666667,0.041666667,0.125,0,0
0,0,0,0.047619048,0,0.047619048,0.047619048,0.047619048,0,0.142857143,0.095238095,0.047619048,0,0.095238095,0,0.142857143,0.047619048,0.095238095,0.047619048,0,0.095238095
0,0.136363636,0,0.045454545,0.045454545,0.045454545,0.136363636,0,0.090909091,0.136363636,0.090909091,0.045454545,0.045454545,0,0,0,0,0.045454545,0.136363636,0,0
0,0.055555556,0,0,0,0.222222222,0.055555556,0.055555556,0.111111111,0.111111111,0.166666667,0,0,0.055555556,0.055555556,0,0.055555556,0.055555556,0,0,0
0,0,0.142857143,0,0,0.071428571,0,0,0.142857143,0,0,0,0,0,0,0.071428571,0.285714286,0.285714286,0,0,0
0,0,0.333333333,0,0,0.055555556,0.111111111,0,0,0,0,0,0,0,0,0.277777778,0,0.055555556,0.166666667,0,0
0,0,0.086956522,0,0.043478261,0,0.130434783,0,0.086956522,0,0.086956522,0,0,0.130434783,0.130434783,0,0.043478261,0.130434783,0.086956522,0,0.043478261
0,0.047619048,0.095238095,0,0,0.095238095,0.238095238,0,0.095238095,0.095238095,0.095238095,0,0,0,0,0,0.047619048,0.095238095,0.095238095,0,0
0,0,0.1875,0,0.0625,0.125,0.125,0.0625,0.0625,0,0,0,0,0.0625,0,0,0.1875,0.0625,0.0625,0,0
0,0,0,0,0,0.125,0.0625,0.1875,0.0625,0.125,0,0,0.0625,0,0.1875,0,0,0,0.1875,0,0
0,0.125,0.083333333,0,0,0.083333333,0.041666667,0,0.083333333,0.125,0.083333333,0.041666667,0,0.083333333,0,0.041666667,0,0.041666667,0.166666667,0,0
0,0,0.125,0,0,0.1875,0.0625,0,0.0625,0.125,0.0625,0,0,0.1875,0,0.125,0.0625,0,0,0,0
0,0,0.125,0,0,0.125,0,0.0625,0,0.1875,0.0625,0.0625,0,0.125,0,0,0.125,0,0.0625,0.0625,0
0,0.1,0,0.05,0.05,0.15,0.05,0,0,0,0.05,0.05,0.05,0.2,0,0,0.15,0,0.05,0,0.05
0,0.103448276,0.068965517,0.068965517,0,0.034482759,0.103448276,0,0.034482759,0.137931034,0.068965517,0.034482759,0.068965517,0,0,0.034482759,0,0.103448276,0.137931034,0,0
0,0.222222222,0,0,0.055555556,0.055555556,0.055555556,0,0.055555556,0.166666667,0.166666667,0.055555556,0,0,0.111111111,0,0,0.055555556,0,0,0
0,0.208333333,0.083333333,0,0,0.083333333,0,0,0.083333333,0.083333333,0.083333333,0,0.041666667,0.083333333,0,0.041666667,0.041666667,0.041666667,0.125,0,0
0,0,0.095238095,0,0,0,0.285714286,0,0.047619048,0.047619048,0.285714286,0.047619048,0,0,0,0,0.095238095,0,0.095238095,0,0
0,0.125,0.083333333,0,0,0.083333333,0.041666667,0,0.125,0.083333333,0.166666667,0,0.041666667,0.083333333,0.041666667,0.041666667,0,0,0.083333333,0,0
0,0.142857143,0,0,0,0.142857143,0,0,0,0.142857143,0.357142857,0,0.071428571,0.142857143,0,0,0,0,0,0,0
0,0.185185185,0,0,0,0.074074074,0.222222222,0,0.037037037,0.111111111,0.148148148,0,0.037037037,0.037037037,0.074074074,0,0.037037037,0,0.037037037,0,0
0,0.058823529,0,0,0,0.235294118,0.058823529,0.058823529,0,0.058823529,0.294117647,0,0,0.117647059,0,0,0.117647059,0,0,0,0
0,0.035714286,0.214285714,0,0.035714286,0.107142857,0.142857143,0,0.071428571,0.071428571,0.035714286,0,0.035714286,0.035714286,0,0,0.107142857,0,0.071428571,0,0.035714286
0,0.318181818,0,0,0,0,0.181818182,0,0.045454545,0.136363636,0.090909091,0.045454545,0,0,0,0,0,0.090909091,0.090909091,0,0
0,0.136363636,0,0.045454545,0.045454545,0.090909091,0.090909091,0,0.045454545,0.181818182,0.136363636,0.045454545,0.045454545,0.045454545,0,0,0,0.045454545,0.045454545,0,0
0,0,0.117647059,0,0,0.117647059,0,0,0.176470588,0.176470588,0.176470588,0,0,0.117647059,0,0,0,0.058823529,0.058823529,0,0
0,0.045454545,0,0.090909091,0,0.181818182,0.090909091,0,0.090909091,0.181818182,0.090909091,0.045454545,0.045454545,0,0.045454545,0,0,0.045454545,0.045454545,0,0
0,0,0,0,0.076923077,0,0,0.076923077,0.076923077,0.153846154,0.307692308,0,0,0,0,0.076923077,0,0,0.153846154,0,0.076923077
0,0,0,0,0,0.090909091,0.181818182,0.136363636,0.045454545,0.045454545,0.136363636,0,0,0,0,0.045454545,0.090909091,0.045454545,0.136363636,0,0.045454545
0,0.0625,0,0,0,0.125,0,0,0.125,0,0.3125,0,0,0.125,0,0,0.1875,0.0625,0,0,0
0,0,0,0,0,0.153846154,0.076923077,0,0.076923077,0,0.307692308,0,0,0.076923077,0,0.076923077,0.153846154,0,0.076923077,0,0
0,0.033333333,0.033333333,0.033333333,0.033333333,0.066666667,0.033333333,0,0.066666667,0.1,0.166666667,0,0.066666667,0.1,0,0.033333333,0,0.166666667,0.066666667,0,0
0,0.133333333,0.066666667,0.033333333,0.033333333,0.033333333,0.166666667,0,0,0.133333333,0.2,0.033333333,0.066666667,0,0.033333333,0,0.033333333,0,0.033333333,0,0
0,0.16,0,0,0,0.08,0.2,0,0.08,0.12,0.08,0,0,0.04,0.08,0,0.12,0,0,0.04,0
0,0.153846154,0,0,0,0.076923077,0.230769231,0,0.076923077,0.076923077,0.307692308,0.076923077,0,0,0,0,0,0,0,0,0
0,0.041666667,0.125,0,0.041666667,0,0.083333333,0.041666667,0,0.125,0.166666667,0,0.083333333,0,0,0,0,0.166666667,0.083333333,0.041666667,0
0,0.043478261,0,0,0.086956522,0,0.304347826,0.043478261,0,0,0.043478261,0,0,0.391304348,0.043478261,0,0.043478261,0,0,0,0
0,0.142857143,0,0,0,0,0,0,0.142857143,0.214285714,0.214285714,0,0,0,0,0,0.071428571,0.071428571,0.142857143,0,0
